City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,faanui,-16.4833,-151.75,27.98,76,21,4.57,PF,1682461583
1,viedma,-40.8135,-62.9967,20.68,48,100,0.97,AR,1682461316
2,bluff,-46.6,168.3333,11.56,64,99,9.16,NZ,1682461584
3,klaksvik,62.2266,-6.589,0.51,60,100,9.22,FO,1682461585
4,hobart,-42.8794,147.3294,12.92,77,0,4.63,AU,1682461457
5,hargeysa,9.56,44.065,22.05,72,18,6.87,SO,1682461586
6,puerto escondido,15.85,-97.0667,30.46,62,40,5.14,MX,1682461554
7,mataura,-46.1927,168.8643,11.38,85,100,2.77,NZ,1682461458
8,punta arenas,-53.15,-70.9167,7.06,70,40,6.69,CL,1682461348
9,severo-kurilsk,50.6789,156.125,1.33,81,28,6.51,RU,1682461438
10,pathein,16.7833,94.7333,26.8,79,38,3.58,MM,1682461588
11,busselton,-33.65,115.3333,15.69,75,100,6.89,AU,1682461440
12,banikoara,11.2985,2.4386,32.09,31,61,1.33,BJ,1682461589
13,qaanaaq,77.484,-69.3632,-7.21,94,100,2.45,GL,1682461514
14,sao gabriel da cachoeira,-0.1303,-67.0892,24.38,94,64,1.02,BR,1682461591
15,tahoua,14.8888,5.2692,31.38,12,24,3.97,NE,1682461591
16,vaini,-21.2,-175.2,26.09,73,40,6.17,TO,1682461445
17,botou,38.0667,116.5667,7.06,58,0,3.13,CN,1682461592
18,vanavara,60.34,102.2797,-5.99,95,98,1.19,RU,1682461593
19,east london,-33.0153,27.9116,20.63,92,99,4.3,ZA,1682461473
20,saskylakh,71.9167,114.0833,-11.01,96,100,4.24,RU,1682461455
21,taree,-31.9,152.4667,16.79,97,87,1.2,AU,1682461594
22,butaritari,3.0707,172.7902,27.94,78,100,4.18,KI,1682461452
23,camacha,33.0833,-16.3333,16.68,82,20,3.6,PT,1682461595
24,sao filipe,14.8961,-24.4956,23.55,72,6,3.39,CV,1682461469
25,gillette,44.2911,-105.5022,12.51,62,75,3.6,US,1682461597
26,huarmey,-10.0681,-78.1522,26.32,72,75,4.78,PE,1682461597
27,ambulu,-8.345,113.6058,24.1,92,82,1.53,ID,1682461598
28,ketchikan,55.3422,-131.6461,9.26,53,75,8.23,US,1682461598
29,uige,-7.6087,15.0613,19.72,97,63,1.23,AO,1682461599
30,souillac,-20.5167,57.5167,24.21,88,75,3.6,MU,1682461474
31,ushuaia,-54.8,-68.3,4.81,81,75,8.75,AR,1682461430
32,codrington,-38.2667,141.9667,15.16,70,50,3.67,AU,1682461600
33,najran,17.4924,44.1277,23.36,45,19,1.19,SA,1682461601
34,puerto ayora,-0.7393,-90.3518,28.98,88,31,3.13,EC,1682461345
35,kikwit,-5.041,18.8162,22.32,94,85,0.4,CD,1682461602
36,maragogi,-9.0122,-35.2225,25.34,86,89,2.59,BR,1682461538
37,kapit,2.0167,112.9333,22.9,99,100,0.46,MY,1682461603
38,nanortalik,60.1432,-45.2371,0.98,92,99,2.66,GL,1682461604
39,hermanus,-34.4187,19.2345,15.33,80,31,2.77,ZA,1682461604
40,tuktoyaktuk,69.4541,-133.0374,-18.0,78,40,5.66,CA,1682461501
41,pokhara,28.2333,83.9833,18.15,32,15,2.95,NP,1682461420
42,kahului,20.8947,-156.47,28.01,57,75,5.66,US,1682461606
43,muros,42.7762,-9.0603,16.72,94,100,2.75,ES,1682461472
44,mlonggo,-6.5333,110.7,25.18,84,84,2.24,ID,1682461607
45,kachiry,53.0675,76.1036,11.2,54,30,5.7,KZ,1682461607
46,severobaykalsk,55.65,109.3167,-4.29,79,99,1.97,RU,1682461608
47,alta floresta,-9.8756,-56.0861,24.47,87,92,1.63,BR,1682461609
48,shelburne,44.0787,-80.2041,7.64,42,95,5.24,CA,1682461609
49,bengkulu,-3.8004,102.2655,24.38,92,99,1.21,ID,1682461447
50,paracatu,-17.2222,-46.8747,24.23,55,100,1.03,BR,1682461611
51,hithadhoo,-0.6,73.0833,28.76,75,100,5.94,MV,1682461612
52,rikitea,-23.1203,-134.9692,25.41,72,31,4.36,PF,1682461436
53,aswan,24.0934,32.907,28.61,13,0,4.12,EG,1682461546
54,thompson,55.7435,-97.8558,9.09,29,20,2.57,CA,1682461449
55,leningradskiy,69.3833,178.4167,-9.69,78,42,3.79,RU,1682461484
56,simpang empat,4.95,100.6333,24.15,94,99,1.31,MY,1682461615
57,arraial do cabo,-22.9661,-42.0278,23.92,88,20,4.12,BR,1682461418
58,esperance,-33.8667,121.9,14.93,69,18,11.62,AU,1682461441
59,dehloran,32.6941,47.2679,24.45,37,0,2.12,IR,1682461617
60,ponta delgada,37.7333,-25.6667,17.4,100,75,2.57,PT,1682461617
61,constitucion,-35.3333,-72.4167,14.27,72,100,4.58,CL,1682461618
62,ribeira grande,38.5167,-28.7,17.65,94,20,4.92,PT,1682461485
63,mount isa,-20.7333,139.5,22.87,53,99,2.57,AU,1682461619
64,mulege,26.8833,-111.9833,27.48,38,99,2.53,MX,1682461619
65,zeya,53.75,127.2667,-0.12,51,82,2.3,RU,1682461620
66,zhigansk,66.7697,123.3711,-6.44,82,59,2.29,RU,1682461493
67,tuatapere,-46.1333,167.6833,8.69,80,99,3.37,NZ,1682461544
68,adrar,20.5022,-10.0711,31.03,11,0,3.68,MR,1682461622
69,oksfjord,70.2396,22.3479,-1.9,83,78,3.09,NO,1682461623
70,kapaa,22.0752,-159.319,27.99,69,100,7.72,US,1682461508
71,hamilton,39.1834,-84.5333,16.47,39,75,4.12,US,1682461527
72,upernavik,72.7868,-56.1549,-1.9,91,100,2.71,GL,1682461521
73,longyearbyen,78.2186,15.6401,-8.09,79,0,1.03,SJ,1682461625
74,agalatovo,60.2195,30.2739,11.52,67,23,2.17,RU,1682461625
75,hilo,19.7297,-155.09,28.49,66,0,4.12,US,1682461275
76,cayenne,4.9333,-52.3333,25.02,94,75,0.0,GF,1682461391
77,coihaique,-45.5752,-72.0662,10.34,87,75,2.06,CL,1682461413
78,dong hoi,17.4833,106.6,23.93,94,100,4.92,VN,1682461627
79,khatanga,71.9667,102.5,-9.33,91,98,5.36,RU,1682461448
80,gympie,-26.1898,152.665,19.08,80,80,2.88,AU,1682461630
81,hasaki,35.7333,140.8333,16.22,85,100,10.29,JP,1682461524
82,saint-augustin,51.226,-58.6502,4.47,77,95,5.1,CA,1682461633
83,albany,42.6001,-73.9662,11.76,49,99,1.87,US,1682461384
